Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
82,2025-12-12 10:56:25,1.1.1.1,GigabitEthernet0/0,2.27,5.356,3.0863,3.0863,80,77,3,3.75,7.9786344008012255,5.234956741333008,23.881912231445312,1.0,15.0,2.907,7.257,11.561,18.538
83,2025-12-12 10:56:49,1.1.1.1,GigabitEthernet0/0,2.415,5.501,3.0862,3.0862,85,82,3,3.5294117647058822,7.761210930056688,4.677534103393555,21.536827087402344,3.0,12.0,2.565,7.158,9.988,19.409
84,2025-12-12 10:57:13,1.1.1.1,GigabitEthernet0/0,2.216,6.318,4.102,4.102,81,77,4,4.938271604938271,7.496660405939275,4.427671432495117,18.3713436126709,2.0,8.0,2.326,6.94,12.427,14.599
85,2025-12-12 10:57:37,1.1.1.1,GigabitEthernet0/0,2.226,6.319,4.0928,4.0928,80,76,4,5.0,6.960435917502956,4.504203796386719,18.92256736755371,2.0,12.0,2.008,6.61,10.004,11.404
86,2025-12-12 10:58:02,1.1.1.1,GigabitEthernet0/0,2.257,5.344,3.0873,3.0873,84,81,3,3.571428571428571,6.968103809121215,4.388093948364258,10.898590087890625,1.0,10.0,1.347,6.834,8.718,10.741
87,2025-12-12 10:58:26,1.1.1.1,GigabitEthernet0/0,2.273,6.345,4.0714,4.0714,79,75,4,5.063291139240507,8.38467280069987,4.347801208496094,21.315336227416992,2.0,15.0,3.039,7.837,14.343,21.108
88,2025-12-12 10:58:51,1.1.1.1,GigabitEthernet0/0,2.257,6.372,4.1146,4.1146,84,80,4,4.761904761904762,7.217642664909363,4.399776458740234,10.792732238769531,8.0,11.0,1.511,7.102,9.723,10.622
89,2025-12-12 10:59:16,1.1.1.1,GigabitEthernet0/0,2.242,5.321,3.0789,3.0789,80,77,3,3.75,7.387675248183213,4.753828048706055,12.206554412841797,3.0,8.0,1.408,7.491,9.883,10.154
90,2025-12-12 10:59:40,1.1.1.1,GigabitEthernet0/0,2.225,5.298,3.0724,3.0724,80,77,3,3.75,8.65849581631747,4.432439804077148,17.123699188232422,1.0,15.0,2.707,8.244,12.679,17.059
91,2025-12-12 11:00:03,1.1.1.1,GigabitEthernet0/0,2.23,5.302,3.0722,3.0722,76,73,3,3.9473684210526314,9.516004013688597,4.460811614990234,29.168128967285156,2.0,13.0,5.364,7.499,22.912,25.455
92,2025-12-12 11:00:27,1.1.1.1,GigabitEthernet0/0,2.297,5.373,3.0757,3.0757,81,78,3,3.7037037037037033,8.663580967829777,4.385948181152344,30.941009521484375,2.0,9.0,5.133,7.046,21.151,28.908
93,2025-12-12 11:00:51,1.1.1.1,GigabitEthernet0/0,2.253,6.363,4.1108,4.1108,79,75,4,5.063291139240507,8.376150131225586,4.435539245605469,22.919654846191406,2.0,11.0,4.062,6.901,18.613,20.966
94,2025-12-12 11:01:16,1.1.1.1,GigabitEthernet0/0,2.273,5.361,3.0879,3.0879,81,78,3,3.7037037037037033,7.082731295854617,3.977060317993164,12.75324821472168,2.0,9.0,1.715,6.82,10.115,11.917
95,2025-12-12 11:01:40,1.1.1.1,GigabitEthernet0/0,2.273,5.346,3.0728,3.0728,80,77,3,3.75,8.184374152839958,4.176855087280273,29.922962188720703,2.0,15.0,3.862,7.326,12.681,24.602
96,2025-12-12 11:02:03,1.1.1.1,GigabitEthernet0/0,2.333,6.431,4.0983,4.0983,85,81,4,4.705882352941177,7.250774053879726,4.4078826904296875,11.765480041503906,2.0,12.0,1.463,7.069,9.641,11.512
97,2025-12-12 11:02:28,1.1.1.1,GigabitEthernet0/0,2.302,5.381,3.0796,3.0796,84,81,3,3.571428571428571,7.281209215705777,4.32896614074707,10.514974594116211,1.0,16.0,1.227,7.198,9.385,10.195
98,2025-12-12 11:02:52,1.1.1.1,GigabitEthernet0/0,2.321,3.339,1.0182,1.0182,82,81,1,1.2195121951219512,7.929925565366392,0,13.053178787231445,2.0,,1.78,7.828,10.293,12.814
99,2025-12-12 11:03:14,1.1.1.1,GigabitEthernet0/0,2.225,5.29,3.0649,3.0649,79,76,3,3.79746835443038,8.37022066116333,5.076408386230469,20.09296417236328,,11.0,2.402,7.868,11.729,15.154
100,2025-12-12 11:03:38,1.1.1.1,GigabitEthernet0/0,2.275,6.374,4.0991,4.0991,84,80,4,4.761904761904762,8.010336756706238,4.304170608520508,16.813278198242188,2.0,13.0,2.091,7.622,11.498,13.592
101,2025-12-12 11:04:03,1.1.1.1,GigabitEthernet0/0,2.27,5.324,3.0536,3.0536,81,78,3,3.7037037037037033,7.458249727884929,4.117250442504883,13.103485107421875,4.0,12.0,1.521,7.048,10.001,10.716
102,2025-12-12 11:04:27,1.1.1.1,GigabitEthernet0/0,2.256,6.373,4.1161,4.1161,80,76,4,5.0,8.684537912669935,4.773855209350586,26.697158813476562,2.0,15.0,3.914,7.581,13.306,24.821
103,2025-12-12 11:04:51,1.1.1.1,GigabitEthernet0/0,2.216,5.288,3.072,3.072,78,75,3,3.8461538461538463,8.884773254394531,3.9098262786865234,20.949125289916992,6.0,16.0,3.133,8.039,14.132,20.723
104,2025-12-12 11:05:15,1.1.1.1,GigabitEthernet0/0,2.261,6.363,4.1015,4.1015,83,79,4,4.819277108433735,8.00265843355203,4.20069694519043,15.895366668701172,2.0,8.0,2.267,7.658,12.948,14.672
105,2025-12-12 11:05:40,1.1.1.1,GigabitEthernet0/0,2.339,5.413,3.0733,3.0733,82,79,3,3.6585365853658534,9.467155118531819,4.743814468383789,31.94403648376465,1.0,15.0,5.916,7.321,24.375,30.564
106,2025-12-12 11:06:04,1.1.1.1,GigabitEthernet0/0,2.28,6.391,4.1113,4.1113,77,73,4,5.194805194805195,9.570141361184316,5.342960357666016,32.529592514038086,1.0,11.0,5.533,7.68,21.289,28.773
107,2025-12-12 11:06:29,1.1.1.1,GigabitEthernet0/0,2.308,5.388,3.0794,3.0794,83,80,3,3.614457831325301,7.483190298080444,4.016399383544922,13.296127319335938,2.0,14.0,1.568,7.279,10.36,12.287
108,2025-12-12 11:06:52,1.1.1.1,GigabitEthernet0/0,2.268,5.327,3.0589,3.0589,80,77,3,3.75,9.691897924844321,5.121946334838867,31.789064407348633,4.0,7.0,4.461,8.388,18.096,24.695
109,2025-12-12 11:07:16,1.1.1.1,GigabitEthernet0/0,2.25,5.333,3.0829,3.0829,76,73,3,3.9473684210526314,9.482207363598967,4.966020584106445,23.908615112304688,2.0,13.0,3.981,8.124,19.156,22.328
110,2025-12-12 11:07:40,1.1.1.1,GigabitEthernet0/0,2.276,5.366,3.0899,3.0899,82,79,3,3.6585365853658534,7.476679886443706,4.773378372192383,13.024091720581055,2.0,15.0,1.496,7.374,9.652,11.442
111,2025-12-12 11:08:04,1.1.1.1,GigabitEthernet0/0,2.248,5.302,3.0539,3.0539,91,88,3,3.296703296703297,7.778538898988203,4.651308059692383,12.894392013549805,3.0,11.0,1.742,7.501,10.924,12.755
112,2025-12-12 11:08:27,1.1.1.1,GigabitEthernet0/0,2.297,6.41,4.1132,4.1132,80,76,4,5.0,8.139174235494513,5.2776336669921875,23.436784744262695,2.0,9.0,2.832,7.407,12.243,18.436
113,2025-12-12 11:08:52,1.1.1.1,GigabitEthernet0/0,2.267,5.348,3.0809,3.0809,87,84,3,3.4482758620689653,7.460117340087891,4.959583282470703,15.42353630065918,2.0,13.0,1.744,7.268,9.594,14.174
114,2025-12-12 11:09:16,1.1.1.1,GigabitEthernet0/0,2.232,6.344,4.1114,4.1114,79,75,4,5.063291139240507,7.248376210530599,4.714727401733398,16.071796417236328,2.0,14.0,1.71,6.958,9.885,11.163
115,2025-12-12 11:09:41,1.1.1.1,GigabitEthernet0/0,2.286,5.351,3.0651,3.0651,83,80,3,3.614457831325301,7.2816163301467896,4.518270492553711,13.48876953125,2.0,13.0,1.55,7.026,10.501,11.042
