Experiment,Date,Ping_Target,Tracked_Interface,Fail_Start_Time,Fail_End_Time,Failover_Duration_sec,Ping_Loss_Duration_sec,Total_Pings,Successful_Pings,Lost_Pings,Packet_Loss_Percent,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,CPU_Before,CPU_After,Jitter_ms,Median_Latency_ms,Latency_95th_ms,Latency_99th_ms
71,2025-12-12 14:30:58,1.1.1.1,GigabitEthernet0/0,2.284,5.32,3.0359,3.0359,132,129,3,2.272727272727273,6.986747416414956,4.096508026123047,31.130552291870117,2.0,13.0,2.427,6.657,8.926,9.558
72,2025-12-12 14:31:21,1.1.1.1,GigabitEthernet0/0,2.321,6.369,4.0483,4.0483,133,129,4,3.007518796992481,7.193502529646999,4.842281341552734,12.273550033569336,1.0,10.0,1.255,7.082,9.115,10.107
73,2025-12-12 14:31:46,1.1.1.1,GigabitEthernet0/0,2.279,6.328,4.0485,4.0485,132,128,4,3.0303030303030303,7.112504914402962,4.284143447875977,13.814210891723633,3.0,11.0,1.39,7.038,9.211,10.564
74,2025-12-12 14:32:11,1.1.1.1,GigabitEthernet0/0,2.294,6.342,4.048,4.048,130,126,4,3.076923076923077,7.405286743527367,4.814386367797852,16.89743995666504,2.0,14.0,1.615,7.194,10.041,11.107
75,2025-12-12 14:32:35,1.1.1.1,GigabitEthernet0/0,2.309,6.358,4.0486,4.0486,133,129,4,3.007518796992481,7.383385369944018,4.306316375732422,31.72898292541504,7.0,9.0,2.687,7.015,9.482,12.197
76,2025-12-12 14:33:00,1.1.1.1,GigabitEthernet0/0,2.236,6.284,4.0481,4.0481,122,118,4,3.278688524590164,8.265012401645466,4.505157470703125,22.500991821289062,2.0,10.0,3.369,7.153,15.646,19.853
77,2025-12-12 14:33:25,1.1.1.1,GigabitEthernet0/0,2.346,6.397,4.0514,4.0514,132,128,4,3.0303030303030303,7.6430682092905045,4.472255706787109,29.758214950561523,3.0,8.0,3.27,6.993,10.359,22.062
78,2025-12-12 14:33:49,1.1.1.1,GigabitEthernet0/0,2.339,6.389,4.0501,4.0501,129,125,4,3.10077519379845,7.9512176513671875,4.452705383300781,36.29159927368164,1.0,15.0,5.046,6.662,11.53,29.094
79,2025-12-12 14:34:14,1.1.1.1,GigabitEthernet0/0,2.305,5.342,3.0374,3.0374,129,126,3,2.3255813953488373,7.471569000728547,4.588842391967773,14.343023300170898,2.0,11.0,1.768,7.05,11.253,13.28
80,2025-12-12 14:34:38,1.1.1.1,GigabitEthernet0/0,2.227,6.276,4.0485,4.0485,122,118,4,3.278688524590164,8.10114407943467,4.546880722045898,24.8410701751709,4.0,13.0,3.902,7.108,17.027,24.049
81,2025-12-12 14:35:02,1.1.1.1,GigabitEthernet0/0,2.35,6.4,4.0493,4.0493,133,129,4,3.007518796992481,7.325915403144304,5.059003829956055,15.279531478881836,2.0,10.0,1.939,6.799,10.602,13.981
82,2025-12-12 14:35:27,1.1.1.1,GigabitEthernet0/0,2.28,6.329,4.0491,4.0491,124,120,4,3.225806451612903,8.171449104944864,4.516839981079102,27.661800384521484,2.0,8.0,3.047,7.584,13.734,18.949
83,2025-12-12 14:35:52,1.1.1.1,GigabitEthernet0/0,2.325,5.361,3.0366,3.0366,132,129,3,2.272727272727273,7.172091062678847,4.692792892456055,11.407136917114258,1.0,14.0,1.408,6.934,9.39,11.283
84,2025-12-12 14:36:16,1.1.1.1,GigabitEthernet0/0,2.241,6.291,4.0498,4.0498,128,124,4,3.125,7.3577684740866385,4.346370697021484,21.219968795776367,1.0,8.0,2.357,6.691,10.252,17.365
85,2025-12-12 14:36:40,1.1.1.1,GigabitEthernet0/0,2.251,6.3,4.0494,4.0494,131,127,4,3.0534351145038165,7.06415476761465,4.462242126464844,12.721538543701172,2.0,10.0,1.489,6.732,9.529,11.574
86,2025-12-12 14:37:05,1.1.1.1,GigabitEthernet0/0,2.24,6.288,4.0486,4.0486,129,125,4,3.10077519379845,7.214117050170898,4.554033279418945,13.875246047973633,2.0,14.0,1.568,6.923,9.045,12.797
87,2025-12-12 14:37:30,1.1.1.1,GigabitEthernet0/0,2.283,6.332,4.0487,4.0487,134,130,4,2.9850746268656714,6.873011589050293,4.227638244628906,15.867233276367188,1.0,9.0,1.525,6.635,9.392,10.449
88,2025-12-12 14:37:55,1.1.1.1,GigabitEthernet0/0,2.277,6.325,4.0484,4.0484,129,125,4,3.10077519379845,7.539907455444336,4.554510116577148,22.612333297729492,1.0,9.0,2.689,7.101,9.881,20.103
89,2025-12-12 14:38:19,1.1.1.1,GigabitEthernet0/0,2.356,6.405,4.049,4.049,127,123,4,3.149606299212598,8.185165684397628,4.1065216064453125,27.686595916748047,2.0,15.0,3.48,7.439,13.628,21.879
90,2025-12-12 14:38:44,1.1.1.1,GigabitEthernet0/0,2.384,5.422,3.0382,3.0382,131,128,3,2.2900763358778624,7.7918097376823425,4.849910736083984,16.8609619140625,2.0,12.0,2.214,7.364,12.681,14.189
